cause_of_loss,avg_loss_percentage
Average /Frequency Of Producers/Frequency Of Producers Who Answered “Don’T Know”   In Field 14% 47% 36%  During Harvesting 5% 44% 27%  During Cleaning 2% 9% 30%  During Husking 5% 5% 27%  During Blanching And Freezing 0% 3% 28%  During Colour Sorting 8% 5% 27%  During Sale And Reclaim 17% 5% 30%  Other* 14% 14% 22%,11.0
Type Of Shelling Machine,11.0
"Long Transport, Packaging, Handling And Storage At Wholesaler",10.8
Field Stacking,10.0
"According To A Most Conservative Estimate, About 10% Of The  Cereals Harvested In Developing Countries Are Lost Annually (Chaudhry, 1982). Most Of The Pakistani  Scientists Strongly Believe That 10% Post-Harvest Losses Of Wheat Are Not At All Uncommon In Our  Country (Ahmad Et Al., 1992).",10.0
Varieties/Sorting,10.0
Farmgate To Market,10.0
Left In Field,10.0
Lack Of Biological Agents (Natural Predators) In The Field,10.0
Poor Machine Set Up,10.0
"Poor Transportation And Handling -Improper Handling By Loading And Off-Loading, Over-Loading And Insufficient Protection In The Truck.",10.0
Field Mycotoxin Contamination,9.99
Disease Loss,9.975
"Average /Frequency Of Producers/Frequency Of Producers Who Answered “Don’T Know”   In Field 14% 47% 36%  During Harvesting 5% 44% 27%  During Cleaning 2% 9% 30%  During Husking 5% 5% 27%  During Blanching And Freezing 0% 3% 28%  During Colour Sorting 8% 5% 27%  During Sale And Reclaim 17% 5% 30%  Other* 14% 14% 22%    Disease In Field 5% 22% 23%  Damage From Animals 20% 34% 19%  Weather Conditions (Rain, Flooding, Etc.) 38% 30% 19%  Technical Problems Related To Cultivation Method  (Spray Damage Or Similar)  5% 16% 22%  Damage During Harvest And Handling 51% 27% 25%  Other Quality Parameters 23% 8% 23%  Reclaims 0% 6% 22%  No Sale Or Overproduction 35% 19% 23%  Other* 13% 11% 20%",9.5
Drying Before Storage,9.5
"Improper Harvesting And Transportation Methods, Unsuitable Storage Of Products After Harvest, Poor Sorting, Improper Packaging And Distribution. Losses Also Occur During Retail Sale, Consumption And Processing",9.260416666666666
Threshing,9.25
Sorting,9.15
Cut Potatoes,9.05
During Delivery To Food Shops Or Similar,9.0
Traditional Storage,9.0
Public Utility Vehicle/Motorcycleb,8.9
Decay,8.800333333333333
Sukhbiret Al. (2007) Compared The Performance Of Reaper With  Conventional Method Of Manual Harvesting Of Wheat Crop With Sickle To See The Feasibility. They  Recorded 5.8% To 11.8% Harvesting Losses With Reaper.,8.8
Handling/Transport,8.8
Loading/Unloading,8.75
"Rough Handling, The Effects Of High Ambient Temperatures And Poor Quality Package",8.700000000000001
"Pests, Plant Diseases And Quality Issues Are The Main Reasons.",8.700000000000001
